ip,port,tag
161.35.12.89,443,malicious/adaptix_c2
162.120.71.251,443,malicious/adaptix_c2
164.90.197.183,443,malicious/adaptix_c2
164.92.253.61,443,malicious/adaptix_c2
165.154.227.220,443,malicious/adaptix_c2
165.227.221.35,443,malicious/adaptix_c2
167.88.168.160,443,malicious/adaptix_c2
170.130.55.223,443,malicious/adaptix_c2
172.232.122.178,443,malicious/adaptix_c2
172.235.52.96,443,malicious/adaptix_c2
172.86.107.75,443,malicious/adaptix_c2
172.86.123.31,443,malicious/adaptix_c2
172.86.89.240,443,malicious/adaptix_c2
172.96.137.160,443,malicious/adaptix_c2
173.232.146.48,443,malicious/adaptix_c2
174.92.170.139,443,malicious/adaptix_c2
174.92.170.237,443,malicious/adaptix_c2
174.93.204.158,443,malicious/adaptix_c2
174.95.230.232,443,malicious/adaptix_c2
178.128.87.154,443,malicious/adaptix_c2
18.209.60.16,443,malicious/adaptix_c2
18.222.232.190,443,malicious/adaptix_c2
18.223.108.252,443,malicious/adaptix_c2
182.16.98.88,443,malicious/adaptix_c2
182.61.50.127,443,malicious/adaptix_c2
184.144.144.140,443,malicious/adaptix_c2
184.144.144.68,443,malicious/adaptix_c2
184.144.174.176,443,malicious/adaptix_c2
184.145.249.18,443,malicious/adaptix_c2
185.194.53.238,443,malicious/adaptix_c2
185.208.158.168,443,malicious/adaptix_c2
185.233.166.187,443,malicious/adaptix_c2
185.233.166.28,443,malicious/adaptix_c2
185.255.178.11,443,malicious/adaptix_c2
185.255.178.38,443,malicious/adaptix_c2
192.153.57.9,443,malicious/adaptix_c2
193.239.237.120,443,malicious/adaptix_c2
193.5.65.114,443,malicious/adaptix_c2
193.53.127.191,443,malicious/adaptix_c2
194.182.86.110,443,malicious/adaptix_c2
194.58.114.8,443,malicious/adaptix_c2
194.87.105.140,443,malicious/adaptix_c2
194.87.17.219,443,malicious/adaptix_c2
196.251.116.106,443,malicious/adaptix_c2
196.251.118.249,443,malicious/adaptix_c2
198.54.126.112,443,malicious/adaptix_c2
20.17.96.220,443,malicious/adaptix_c2
206.188.196.80,443,malicious/adaptix_c2
209.250.247.174,443,malicious/adaptix_c2
212.192.15.213,443,malicious/adaptix_c2
216.74.123.245,443,malicious/adaptix_c2
217.148.142.28,443,malicious/adaptix_c2
217.148.142.34,443,malicious/adaptix_c2
217.148.142.54,443,malicious/adaptix_c2
217.154.115.105,443,malicious/adaptix_c2
217.28.130.34,443,malicious/adaptix_c2
217.28.130.37,443,malicious/adaptix_c2
217.28.130.44,443,malicious/adaptix_c2
217.28.130.61,443,malicious/adaptix_c2
217.28.130.82,443,malicious/adaptix_c2
23.227.196.115,443,malicious/adaptix_c2
23.227.196.13,443,malicious/adaptix_c2
23.227.196.19,443,malicious/adaptix_c2
23.227.196.62,443,malicious/adaptix_c2
23.227.199.60,443,malicious/adaptix_c2
23.227.199.61,443,malicious/adaptix_c2
23.227.199.82,443,malicious/adaptix_c2
23.227.199.99,443,malicious/adaptix_c2
23.227.202.225,443,malicious/adaptix_c2
23.227.203.128,443,malicious/adaptix_c2
23.227.203.12,443,malicious/adaptix_c2
23.227.203.178,443,malicious/adaptix_c2
23.227.203.190,443,malicious/adaptix_c2
23.227.203.191,443,malicious/adaptix_c2
23.227.203.193,443,malicious/adaptix_c2
23.227.203.198,443,malicious/adaptix_c2
23.227.203.205,443,malicious/adaptix_c2
23.227.203.228,443,malicious/adaptix_c2
23.227.203.246,443,malicious/adaptix_c2
23.227.203.248,443,malicious/adaptix_c2
23.94.61.49,443,malicious/adaptix_c2
24.4.254.185,443,malicious/adaptix_c2
3.0.61.43,443,malicious/adaptix_c2
3.8.187.162,443,malicious/adaptix_c2
3.88.14.227,443,malicious/adaptix_c2
3.97.11.123,443,malicious/adaptix_c2
31.56.146.41,443,malicious/adaptix_c2
31.97.207.197,443,malicious/adaptix_c2
34.102.233.188,443,malicious/adaptix_c2
34.107.179.223,443,malicious/adaptix_c2
34.71.90.210,443,malicious/adaptix_c2
34.98.81.157,443,malicious/adaptix_c2
35.159.38.208,443,malicious/adaptix_c2
37.72.168.135,443,malicious/adaptix_c2
37.72.168.179,443,malicious/adaptix_c2
38.114.101.163,443,malicious/adaptix_c2
38.132.122.133,443,malicious/adaptix_c2
38.132.122.141,443,malicious/adaptix_c2
38.132.122.145,443,malicious/adaptix_c2
38.132.122.161,443,malicious/adaptix_c2
38.132.122.180,443,malicious/adaptix_c2
38.180.182.102,443,malicious/adaptix_c2
38.180.2.155,443,malicious/adaptix_c2
38.207.177.170,443,malicious/adaptix_c2
43.133.211.161,443,malicious/adaptix_c2
43.154.137.247,443,malicious/adaptix_c2
43.156.15.56,443,malicious/adaptix_c2
43.156.244.51,443,malicious/adaptix_c2
43.156.64.185,443,malicious/adaptix_c2
45.129.0.102,443,malicious/adaptix_c2
45.141.86.65,443,malicious/adaptix_c2
45.144.221.24,443,malicious/adaptix_c2
45.61.135.83,443,malicious/adaptix_c2
45.61.165.23,443,malicious/adaptix_c2
45.76.159.208,443,malicious/adaptix_c2
45.77.240.204,443,malicious/adaptix_c2
46.101.241.27,443,malicious/adaptix_c2
46.173.211.240,443,malicious/adaptix_c2
46.21.153.154,443,malicious/adaptix_c2
46.38.240.37,443,malicious/adaptix_c2
46.62.144.142,443,malicious/adaptix_c2
47.116.126.243,443,malicious/adaptix_c2
47.122.27.78,443,malicious/adaptix_c2
47.237.90.16,443,malicious/adaptix_c2
49.13.163.25,443,malicious/adaptix_c2
49.232.253.183,443,malicious/adaptix_c2
5.133.9.244,443,malicious/adaptix_c2
5.253.31.113,443,malicious/adaptix_c2
5.255.88.41,443,malicious/adaptix_c2
5.83.144.14,443,malicious/adaptix_c2
51.210.90.125,443,malicious/adaptix_c2
52.22.15.69,443,malicious/adaptix_c2
54.163.41.38,443,malicious/adaptix_c2
54.250.175.201,443,malicious/adaptix_c2
60.205.3.34,443,malicious/adaptix_c2
64.137.9.118,443,malicious/adaptix_c2
64.7.199.193,443,malicious/adaptix_c2
64.94.84.169,443,malicious/adaptix_c2
66.179.211.88,443,malicious/adaptix_c2
77.232.40.154,443,malicious/adaptix_c2
77.232.42.107,443,malicious/adaptix_c2
77.72.2.29,443,malicious/adaptix_c2
77.73.131.129,443,malicious/adaptix_c2
77.73.131.39,443,malicious/adaptix_c2
8.137.85.34,443,malicious/adaptix_c2
8.138.232.116,443,malicious/adaptix_c2
82.118.16.37,443,malicious/adaptix_c2
82.153.138.122,443,malicious/adaptix_c2
83.229.17.94,443,malicious/adaptix_c2
85.235.67.31,443,malicious/adaptix_c2
85.239.54.47,443,malicious/adaptix_c2
86.106.85.206,443,malicious/adaptix_c2
87.106.112.18,443,malicious/adaptix_c2
88.204.56.40,443,malicious/adaptix_c2
88.214.25.196,443,malicious/adaptix_c2
88.218.94.154,443,malicious/adaptix_c2
89.41.26.173,443,malicious/adaptix_c2
89.41.26.181,443,malicious/adaptix_c2
89.41.26.187,443,malicious/adaptix_c2
89.45.4.74,443,malicious/adaptix_c2
89.46.65.19,443,malicious/adaptix_c2
9.169.156.105,443,malicious/adaptix_c2
91.142.79.140,443,malicious/adaptix_c2
93.165.113.39,443,malicious/adaptix_c2
94.156.236.125,443,malicious/adaptix_c2
94.175.204.229,443,malicious/adaptix_c2
94.198.52.210,443,malicious/adaptix_c2
94.247.42.56,443,malicious/adaptix_c2
95.179.130.57,443,malicious/adaptix_c2
96.9.124.207,443,malicious/adaptix_c2
97.64.82.101,443,malicious/adaptix_c2
43.209.175.55,7010,malicious/adaptix_c2
101.35.211.3,4321,malicious/adaptix_c2
101.42.100.236,4443,malicious/adaptix_c2
103.106.230.53,5900,malicious/adaptix_c2
103.117.148.226,4321,malicious/adaptix_c2
103.117.148.226,4444,malicious/adaptix_c2
103.171.35.150,4321,malicious/adaptix_c2
103.171.35.150,4444,malicious/adaptix_c2
104.167.16.88,4321,malicious/adaptix_c2
104.238.57.149,4321,malicious/adaptix_c2
107.154.172.8,16010,malicious/adaptix_c2
107.158.128.78,4321,malicious/adaptix_c2
107.175.159.225,443,malicious/adaptix_c2
108.137.150.223,4321,malicious/adaptix_c2
110.41.138.224,3389,malicious/adaptix_c2
110.41.44.100,4433,malicious/adaptix_c2
111.230.163.105,8888,malicious/adaptix_c2
113.44.68.82,9898,malicious/adaptix_c2
113.45.177.81,4321,malicious/adaptix_c2
113.45.177.81,7788,malicious/adaptix_c2
114.132.238.70,8888,malicious/adaptix_c2
117.72.118.156,4321,malicious/adaptix_c2
118.178.191.92,8443,malicious/adaptix_c2
118.178.231.121,4321,malicious/adaptix_c2
119.91.66.244,8888,malicious/adaptix_c2
121.41.113.184,8443,malicious/adaptix_c2
123.249.103.174,44321,malicious/adaptix_c2
123.31.11.213,4321,malicious/adaptix_c2
124.70.144.47,4321,malicious/adaptix_c2
124.70.144.47,4444,malicious/adaptix_c2
128.199.219.80,4443,malicious/adaptix_c2
128.199.41.157,8080,malicious/adaptix_c2
134.122.57.235,4321,malicious/adaptix_c2
134.199.202.205,8443,malicious/adaptix_c2
137.184.201.126,4444,malicious/adaptix_c2
139.129.32.152,8443,malicious/adaptix_c2
139.196.160.235,8443,malicious/adaptix_c2
139.59.113.130,1024,malicious/adaptix_c2
139.59.17.50,4321,malicious/adaptix_c2
141.164.44.177,36580,malicious/adaptix_c2
144.172.103.74,4443,malicious/adaptix_c2
144.172.106.67,4321,malicious/adaptix_c2
144.172.106.67,4444,malicious/adaptix_c2
144.172.106.67,4895,malicious/adaptix_c2
144.172.116.106,1337,malicious/adaptix_c2
144.172.122.100,8443,malicious/adaptix_c2
144.172.122.219,4323,malicious/adaptix_c2
146.19.254.30,4444,malicious/adaptix_c2
146.70.24.160,43331,malicious/adaptix_c2
146.70.41.141,43211,malicious/adaptix_c2
146.70.41.167,43211,malicious/adaptix_c2
146.70.41.176,43212,malicious/adaptix_c2
146.70.44.174,43211,malicious/adaptix_c2
146.70.87.138,43211,malicious/adaptix_c2
146.70.87.237,43211,malicious/adaptix_c2
146.70.87.26,43211,malicious/adaptix_c2
146.70.87.64,43211,malicious/adaptix_c2
146.70.87.96,43211,malicious/adaptix_c2
147.93.155.118,4321,malicious/adaptix_c2
149.28.23.68,31337,malicious/adaptix_c2
149.50.135.215,49152,malicious/adaptix_c2
152.42.140.133,31337,malicious/adaptix_c2
154.223.21.252,443,malicious/adaptix_c2
154.223.21.252,4444,malicious/adaptix_c2
154.36.175.172,43211,malicious/adaptix_c2
154.91.180.29,41433,malicious/adaptix_c2
159.75.155.46,4321,malicious/adaptix_c2
164.90.202.243,4321,malicious/adaptix_c2
164.92.253.61,4321,malicious/adaptix_c2
165.22.119.30,4321,malicious/adaptix_c2
166.1.160.69,65523,malicious/adaptix_c2
166.88.61.58,1433,malicious/adaptix_c2
167.172.188.68,4321,malicious/adaptix_c2
167.172.72.28,8080,malicious/adaptix_c2
167.88.168.160,8443,malicious/adaptix_c2
172.234.86.225,4321,malicious/adaptix_c2
173.212.202.8,8329,malicious/adaptix_c2
174.138.26.222,4321,malicious/adaptix_c2
178.128.87.154,1234,malicious/adaptix_c2
178.16.55.52,8090,malicious/adaptix_c2
179.43.186.234,4321,malicious/adaptix_c2
183.66.27.19,58476,malicious/adaptix_c2
183.66.27.28,58476,malicious/adaptix_c2
185.193.127.211,4321,malicious/adaptix_c2
185.208.158.168,4321,malicious/adaptix_c2
185.239.238.191,443,malicious/adaptix_c2
185.241.208.218,4444,malicious/adaptix_c2
185.253.117.61,4443,malicious/adaptix_c2
185.28.119.6,4444,malicious/adaptix_c2
188.124.51.141,4443,malicious/adaptix_c2
188.166.224.28,31337,malicious/adaptix_c2
192.210.248.11,4444,malicious/adaptix_c2
193.149.176.112,4321,malicious/adaptix_c2
193.5.65.114,43211,malicious/adaptix_c2
194.62.250.101,49011,malicious/adaptix_c2
195.133.1.120,4321,malicious/adaptix_c2
196.251.115.132,4321,malicious/adaptix_c2
196.251.118.249,4433,malicious/adaptix_c2
196.251.71.228,43211,malicious/adaptix_c2
20.17.96.220,60000,malicious/adaptix_c2
20.234.49.186,4321,malicious/adaptix_c2
20.42.107.78,8443,malicious/adaptix_c2
202.182.124.254,5555,malicious/adaptix_c2
203.159.90.59,4321,malicious/adaptix_c2
203.159.90.59,4444,malicious/adaptix_c2
204.152.192.54,4321,malicious/adaptix_c2
209.250.247.174,4321,malicious/adaptix_c2
212.192.15.213,60000,malicious/adaptix_c2
212.34.145.146,4321,malicious/adaptix_c2
212.56.32.90,43219,malicious/adaptix_c2
213.109.147.51,4444,malicious/adaptix_c2
213.199.53.152,4321,malicious/adaptix_c2
217.28.130.34,10443,malicious/adaptix_c2
217.28.130.37,9443,malicious/adaptix_c2
217.28.130.61,8443,malicious/adaptix_c2
217.28.130.82,9443,malicious/adaptix_c2
23.122.222.92,5555,malicious/adaptix_c2
23.227.196.119,43211,malicious/adaptix_c2
23.227.196.13,43211,malicious/adaptix_c2
23.227.196.17,43211,malicious/adaptix_c2
23.227.196.19,43211,malicious/adaptix_c2
23.227.196.85,43211,malicious/adaptix_c2
23.227.199.37,4321,malicious/adaptix_c2
23.227.199.53,53262,malicious/adaptix_c2
23.227.199.60,43211,malicious/adaptix_c2
23.227.199.61,43211,malicious/adaptix_c2
23.227.199.82,43211,malicious/adaptix_c2
23.227.199.99,43212,malicious/adaptix_c2
23.227.202.247,43211,malicious/adaptix_c2
23.227.203.128,43211,malicious/adaptix_c2
23.227.203.178,43211,malicious/adaptix_c2
23.227.203.190,43211,malicious/adaptix_c2
23.227.203.191,43211,malicious/adaptix_c2
23.227.203.193,43211,malicious/adaptix_c2
23.227.203.198,43211,malicious/adaptix_c2
23.227.203.205,43211,malicious/adaptix_c2
23.227.203.213,43211,malicious/adaptix_c2
23.227.203.228,43211,malicious/adaptix_c2
23.227.203.246,43211,malicious/adaptix_c2
23.227.203.248,43211,malicious/adaptix_c2
23.94.111.229,4444,malicious/adaptix_c2
3.88.14.227,4321,malicious/adaptix_c2
34.22.85.55,4321,malicious/adaptix_c2
34.22.85.55,443,malicious/adaptix_c2
34.22.85.55,4444,malicious/adaptix_c2
34.22.85.55,6443,malicious/adaptix_c2
38.132.122.141,43211,malicious/adaptix_c2
38.132.122.145,43211,malicious/adaptix_c2
38.132.122.161,43211,malicious/adaptix_c2
38.132.122.180,43212,malicious/adaptix_c2
38.132.122.198,43211,malicious/adaptix_c2
38.242.155.163,4444,malicious/adaptix_c2
39.108.79.95,3389,malicious/adaptix_c2
40.124.180.118,4444,malicious/adaptix_c2
41.249.151.35,4444,malicious/adaptix_c2
43.140.221.154,4321,malicious/adaptix_c2
43.154.137.247,8443,malicious/adaptix_c2
43.156.15.56,4321,malicious/adaptix_c2
43.156.59.110,4321,malicious/adaptix_c2
43.156.64.185,4444,malicious/adaptix_c2
43.159.45.212,4444,malicious/adaptix_c2
43.159.45.212,5555,malicious/adaptix_c2
43.229.150.95,4444,malicious/adaptix_c2
43.255.159.28,4321,malicious/adaptix_c2
45.136.29.64,4321,malicious/adaptix_c2
45.136.29.64,4444,malicious/adaptix_c2
45.138.16.95,7547,malicious/adaptix_c2
45.144.221.24,1337,malicious/adaptix_c2
45.194.37.194,9595,malicious/adaptix_c2
45.61.135.83,9443,malicious/adaptix_c2
45.76.159.208,5000,malicious/adaptix_c2
45.88.109.34,123,malicious/adaptix_c2
45.94.47.152,8083,malicious/adaptix_c2
46.21.153.146,43211,malicious/adaptix_c2
46.21.153.148,43211,malicious/adaptix_c2
47.110.244.42,7001,malicious/adaptix_c2
47.122.27.78,54321,malicious/adaptix_c2
47.236.132.98,4444,malicious/adaptix_c2
47.99.196.178,7001,malicious/adaptix_c2
49.13.163.25,4321,malicious/adaptix_c2
49.233.215.17,5000,malicious/adaptix_c2
49.233.215.17,6000,malicious/adaptix_c2
5.129.235.207,4321,malicious/adaptix_c2
5.188.86.168,55364,malicious/adaptix_c2
51.178.207.65,443,malicious/adaptix_c2
60.205.3.34,8443,malicious/adaptix_c2
62.113.59.107,4444,malicious/adaptix_c2
62.141.44.37,8001,malicious/adaptix_c2
64.137.9.118,4341,malicious/adaptix_c2
69.5.189.15,4321,malicious/adaptix_c2
69.5.189.19,443,malicious/adaptix_c2
77.232.40.154,8085,malicious/adaptix_c2
77.73.39.176,4444,malicious/adaptix_c2
8.136.48.237,443,malicious/adaptix_c2
8.136.48.237,5443,malicious/adaptix_c2
8.136.48.237,6443,malicious/adaptix_c2
8.137.85.34,4321,malicious/adaptix_c2
8.138.96.41,50010,malicious/adaptix_c2
82.153.138.122,9091,malicious/adaptix_c2
83.229.17.63,443,malicious/adaptix_c2
84.46.243.167,10443,malicious/adaptix_c2
85.202.193.88,4321,malicious/adaptix_c2
85.234.100.245,4321,malicious/adaptix_c2
86.106.84.62,8080,malicious/adaptix_c2
86.106.84.62,8443,malicious/adaptix_c2
86.106.85.206,43211,malicious/adaptix_c2
86.109.75.149,443,malicious/adaptix_c2
89.41.26.181,43211,malicious/adaptix_c2
89.41.26.187,43211,malicious/adaptix_c2
89.45.4.74,43211,malicious/adaptix_c2
94.177.171.194,4321,malicious/adaptix_c2
94.198.52.210,3043,malicious/adaptix_c2
94.232.249.166,1443,malicious/adaptix_c2
104.145.210.204,4321,malicious/adaptix_c2
115.190.62.191,9999,malicious/adaptix_c2
154.38.187.64,8080,malicious/adaptix_c2
154.49.3.43,8080,malicious/adaptix_c2
162.252.199.16,4321,malicious/adaptix_c2
175.24.73.192,4321,malicious/adaptix_c2
178.16.53.135,4321,malicious/adaptix_c2
178.16.55.204,4321,malicious/adaptix_c2
185.105.88.5,54321,malicious/adaptix_c2
185.132.176.4,4321,malicious/adaptix_c2
185.241.208.218,4321,malicious/adaptix_c2
185.241.208.27,4321,malicious/adaptix_c2
199.217.98.110,4321,malicious/adaptix_c2
220.118.21.243,4321,malicious/adaptix_c2
23.227.203.92,43211,malicious/adaptix_c2
38.242.212.5,4321,malicious/adaptix_c2
4.209.183.220,4321,malicious/adaptix_c2
43.229.150.111,4321,malicious/adaptix_c2
43.229.150.69,4321,malicious/adaptix_c2
45.138.16.162,4321,malicious/adaptix_c2
45.155.53.153,4321,malicious/adaptix_c2
80.78.24.66,4321,malicious/adaptix_c2
85.215.57.133,8080,malicious/adaptix_c2
89.221.203.147,8080,malicious/adaptix_c2
91.214.78.11,4321,malicious/adaptix_c2
104.210.107.111,4444,malicious/adaptix_c2
104.234.174.28,22222,malicious/adaptix_c2
113.44.152.64,10002,malicious/adaptix_c2
115.190.5.235,443,malicious/adaptix_c2
115.190.62.191,443,malicious/adaptix_c2
120.197.127.138,8008,malicious/adaptix_c2
141.98.10.99,4444,malicious/adaptix_c2
152.67.76.61,8443,malicious/adaptix_c2
155.138.162.86,24321,malicious/adaptix_c2
159.223.55.88,41337,malicious/adaptix_c2
165.22.159.5,4321,malicious/adaptix_c2
172.236.188.108,443,malicious/adaptix_c2
180.184.29.135,8088,malicious/adaptix_c2
182.254.171.19,4321,malicious/adaptix_c2
185.154.195.94,1337,malicious/adaptix_c2
185.241.208.218,4433,malicious/adaptix_c2
194.87.10.124,4444,malicious/adaptix_c2
206.189.107.207,4444,malicious/adaptix_c2
34.22.85.55,8091,malicious/adaptix_c2
4.209.183.220,4444,malicious/adaptix_c2
45.155.53.153,4444,malicious/adaptix_c2
47.236.194.231,1433,malicious/adaptix_c2
47.83.254.175,8083,malicious/adaptix_c2
49.235.43.89,4444,malicious/adaptix_c2
77.232.42.107,25789,malicious/adaptix_c2
79.133.46.74,65432,malicious/adaptix_c2
79.133.46.74,8080,malicious/adaptix_c2
8.136.48.237,8091,malicious/adaptix_c2
8.219.171.47,3306,malicious/adaptix_c2
80.253.249.102,4444,malicious/adaptix_c2
195.2.70.190,443,malicious/adaptix_c2
46.149.71.230,443,malicious/adaptix_c2
101.42.255.92,6379,malicious/adaptix_c2
103.194.106.229,4321,malicious/adaptix_c2
103.245.231.83,4321,malicious/adaptix_c2
103.85.226.80,4321,malicious/adaptix_c2
107.189.17.247,1080,malicious/adaptix_c2
123.253.111.217,4321,malicious/adaptix_c2
128.199.84.174,49132,malicious/adaptix_c2
141.8.199.207,4321,malicious/adaptix_c2
147.182.187.2,4321,malicious/adaptix_c2
150.109.63.68,64443,malicious/adaptix_c2
154.219.123.95,4321,malicious/adaptix_c2
165.232.126.106,4321,malicious/adaptix_c2
172.104.188.247,9999,malicious/adaptix_c2
172.233.1.83,1234,malicious/adaptix_c2
172.93.218.252,7777,malicious/adaptix_c2
180.76.103.69,4321,malicious/adaptix_c2
185.84.160.189,4321,malicious/adaptix_c2
188.166.244.201,4321,malicious/adaptix_c2
193.149.176.45,4321,malicious/adaptix_c2
194.233.73.173,4321,malicious/adaptix_c2
194.87.55.166,4321,malicious/adaptix_c2
195.178.110.232,5555,malicious/adaptix_c2
2.56.214.177,1080,malicious/adaptix_c2
20.157.116.151,8000,malicious/adaptix_c2
209.74.95.185,4321,malicious/adaptix_c2
217.60.249.120,4321,malicious/adaptix_c2
23.105.252.167,43211,malicious/adaptix_c2
23.227.202.4,44555,malicious/adaptix_c2
27.223.85.234,58001,malicious/adaptix_c2
43.103.2.130,6443,malicious/adaptix_c2
43.134.163.224,4321,malicious/adaptix_c2
43.153.40.135,9200,malicious/adaptix_c2
45.129.230.38,4321,malicious/adaptix_c2
45.155.53.136,4321,malicious/adaptix_c2
45.81.243.52,4444,malicious/adaptix_c2
45.87.43.189,4321,malicious/adaptix_c2
46.17.40.191,4321,malicious/adaptix_c2
46.250.233.154,4321,malicious/adaptix_c2
49.235.43.89,4321,malicious/adaptix_c2
50.116.52.26,4321,malicious/adaptix_c2
62.60.131.49,4322,malicious/adaptix_c2
64.7.199.35,4321,malicious/adaptix_c2
66.154.109.89,8088,malicious/adaptix_c2
68.154.52.76,4444,malicious/adaptix_c2
68.64.178.201,54321,malicious/adaptix_c2
69.5.189.149,5985,malicious/adaptix_c2
69.5.189.243,2374,malicious/adaptix_c2
72.61.97.211,1080,malicious/adaptix_c2
74.48.170.130,4321,malicious/adaptix_c2
8.219.93.226,4321,malicious/adaptix_c2
91.107.63.52,4321,malicious/adaptix_c2
93.113.180.31,4321,malicious/adaptix_c2
93.123.39.215,4321,malicious/adaptix_c2
94.154.172.221,4321,malicious/adaptix_c2
94.177.170.33,4321,malicious/adaptix_c2
1.12.42.37,31092,malicious/adaptix_c2
103.179.66.86,4444,malicious/adaptix_c2
103.212.186.69,4449,malicious/adaptix_c2
103.231.174.35,6443,malicious/adaptix_c2
103.73.161.139,4321,malicious/adaptix_c2
103.85.226.13,4444,malicious/adaptix_c2
104.224.155.130,4444,malicious/adaptix_c2
104.233.162.77,2053,malicious/adaptix_c2
107.149.142.169,4444,malicious/adaptix_c2
107.174.53.198,4444,malicious/adaptix_c2
107.189.16.142,443,malicious/adaptix_c2
109.172.87.216,443,malicious/adaptix_c2
110.40.186.230,12564,malicious/adaptix_c2
116.62.120.88,6443,malicious/adaptix_c2
120.27.206.92,6443,malicious/adaptix_c2
123.207.58.181,30914,malicious/adaptix_c2
13.38.45.245,4444,malicious/adaptix_c2
134.199.185.50,4444,malicious/adaptix_c2
134.199.219.201,4444,malicious/adaptix_c2
138.226.236.52,13212,malicious/adaptix_c2
138.226.237.81,4444,malicious/adaptix_c2
139.199.160.80,31310,malicious/adaptix_c2
139.199.160.80,31539,malicious/adaptix_c2
139.84.231.177,8080,malicious/adaptix_c2
141.8.199.207,4444,malicious/adaptix_c2
144.172.107.162,4321,malicious/adaptix_c2
144.31.221.96,4444,malicious/adaptix_c2
144.31.62.176,9443,malicious/adaptix_c2
146.190.17.255,4321,malicious/adaptix_c2
146.190.17.255,4444,malicious/adaptix_c2
147.182.187.2,443,malicious/adaptix_c2
147.182.187.2,4444,malicious/adaptix_c2
148.135.119.121,4321,malicious/adaptix_c2
148.253.212.135,4444,malicious/adaptix_c2
149.28.242.44,4321,malicious/adaptix_c2
15.229.32.243,1234,malicious/adaptix_c2
151.242.20.7,8080,malicious/adaptix_c2
154.38.163.220,8443,malicious/adaptix_c2
155.212.165.102,4321,malicious/adaptix_c2
156.238.236.249,300,malicious/adaptix_c2
159.198.76.61,443,malicious/adaptix_c2
159.65.253.170,4321,malicious/adaptix_c2
159.75.189.212,8989,malicious/adaptix_c2
162.55.234.175,5902,malicious/adaptix_c2
165.154.225.36,8443,malicious/adaptix_c2
167.160.190.182,4444,malicious/adaptix_c2
167.17.47.121,4321,malicious/adaptix_c2
167.71.195.201,12654,malicious/adaptix_c2
169.40.135.36,8888,malicious/adaptix_c2
172.104.59.142,8443,malicious/adaptix_c2
172.245.242.116,2083,malicious/adaptix_c2
172.245.242.116,443,malicious/adaptix_c2
172.245.242.117,2083,malicious/adaptix_c2
