ip,ports_set
112.35.99.188,"29018,29012,29011,29010,29007,29006,29005,29003,29002,29001,28006,28005,28004,28001,22"
112.53.235.78,"8888,8443,23"
113.108.79.37,22
113.108.95.34,22
113.164.66.10,"34947,34560,34021,33763,33037,32854,32824,32159,31525,30972,30859,30806,30473,30431"
113.249.101.104,"9074,6000,5555,3389"
113.249.103.127,1883
113.249.103.89,"111,22"
113.44.174.208,3304
114.132.150.96,1145
114.55.236.2,"5310,22"
114.55.28.62,3306
114.55.42.9,9092
114.55.63.46,22
114.55.90.185,"8098,3306,3000,22"
114.67.116.255,"8929,2424,2375,22"
114.80.34.158,"443,80,22"
114.80.35.241,"9876,8848,8719,8085,8081,3306,21"
115.21.72.248,13100
115.220.3.105,22
115.241.16.253,443
115.28.198.131,22
115.28.200.56,"50220,50215,8888,7003"
115.29.226.150,"60105,21735,443,111,80,22"
115.91.91.182,1723
116.193.191.100,"8090,8030,8000,7080,443,80,53,22,21"
116.193.191.104,"8443,443,80,22"
116.193.191.137,"10848,888,887,443,80,22,21"
116.193.191.159,"8072,8070,443,80,22"
116.193.191.46,"8002,443,80,22"
116.193.191.90,15594
116.196.71.115,"33128,8002,6379,5200,3306,888,520,22"
116.198.233.179,"50050,9443,6666,5901,4434,4433,3443,3344,80,22"
