first_seen_utc,malware_printable,confidence_level,ip,port
2025-12-11,Cobalt Strike,100,156.234.145.56,43131
2025-12-11,Cobalt Strike,100,156.234.101.189,43131
2025-12-11,Cobalt Strike,100,23.235.188.18,43131
2025-12-11,Cobalt Strike,100,23.248.214.30,43131
2025-12-11,Cobalt Strike,100,23.226.48.196,43131
2025-12-11,Cobalt Strike,100,23.226.48.197,43131
2025-12-11,Cobalt Strike,100,23.226.48.219,43131
2025-12-11,Cobalt Strike,100,23.226.48.198,43131
2025-12-11,Cobalt Strike,100,23.248.214.27,43131
2025-12-11,Cobalt Strike,100,23.235.188.25,43131
2025-12-11,Cobalt Strike,100,23.235.188.30,43131
2025-12-11,Cobalt Strike,100,156.234.216.175,43131
2025-12-11,Cobalt Strike,100,156.234.145.38,43131
2025-12-11,Cobalt Strike,100,23.235.188.13,43131
2025-12-11,Cobalt Strike,100,156.234.216.173,43131
2025-12-11,Cobalt Strike,100,156.234.101.188,43131
2025-12-11,Cobalt Strike,100,23.226.48.217,43131
2025-12-11,Cobalt Strike,100,156.234.145.55,43131
2025-12-11,Cobalt Strike,100,156.234.101.170,43131
2025-12-11,Cobalt Strike,100,23.235.188.4,43131
2025-12-11,Cobalt Strike,100,156.234.216.167,43131
2025-12-11,Cobalt Strike,100,156.234.145.57,43131
2025-12-11,Cobalt Strike,100,23.226.48.202,43131
2025-12-11,Cobalt Strike,100,23.248.237.45,43131
2025-12-11,Cobalt Strike,100,23.248.214.24,43131
2025-12-11,Cobalt Strike,100,23.235.188.29,43131
2025-12-11,Cobalt Strike,100,156.234.145.59,43131
2025-12-11,Cobalt Strike,100,156.234.145.34,43131
2025-12-11,Cobalt Strike,100,156.234.216.161,43131
2025-12-11,Cobalt Strike,100,23.226.48.221,43131
2025-12-11,Cobalt Strike,100,156.234.216.169,43131
2025-12-11,Cobalt Strike,100,156.234.145.39,43131
2025-12-11,Cobalt Strike,100,156.234.216.184,43131
2025-12-11,Cobalt Strike,100,23.235.188.27,43131
2025-12-11,Cobalt Strike,100,156.234.216.179,43131
2025-12-11,Cobalt Strike,100,23.248.237.44,43131
2025-12-11,Cobalt Strike,100,23.226.48.200,43131
2025-12-11,Cobalt Strike,100,156.234.145.53,43131
2025-12-11,Cobalt Strike,100,23.235.188.23,43131
2025-12-11,Cobalt Strike,100,23.226.48.220,43131
2025-12-11,Cobalt Strike,100,156.234.145.54,43131
2025-12-11,Cobalt Strike,100,156.234.216.162,43131
2025-12-11,Cobalt Strike,100,23.235.188.12,43131
2025-12-11,Cobalt Strike,100,23.248.214.15,43131
2025-12-11,Cobalt Strike,100,23.248.214.13,43131
2025-12-11,Cobalt Strike,100,23.226.48.209,43131
2025-12-11,Cobalt Strike,100,156.234.216.190,43131
2025-12-11,Cobalt Strike,100,156.234.216.164,43131
2025-12-11,Cobalt Strike,100,156.234.101.171,43131
2025-12-11,Cobalt Strike,100,23.248.214.23,43131
2025-12-11,Cobalt Strike,100,156.234.101.185,43131
2025-12-11,Cobalt Strike,100,23.226.48.205,43131
2025-12-11,Cobalt Strike,100,23.235.188.9,43131
2025-12-11,Cobalt Strike,100,156.234.101.165,43131
2025-12-11,Cobalt Strike,100,156.234.101.187,43131
2025-12-11,Cobalt Strike,100,156.234.101.168,43131
2025-12-11,Cobalt Strike,100,23.235.188.3,43131
2025-12-11,Cobalt Strike,100,23.226.48.215,43131
2025-12-11,Cobalt Strike,100,156.234.216.178,43131
2025-12-11,Cobalt Strike,100,156.234.101.179,43131
2025-12-11,Cobalt Strike,100,156.234.145.61,43131
2025-12-11,Cobalt Strike,100,23.235.188.24,43131
2025-12-11,Cobalt Strike,100,156.234.101.162,43131
2025-12-11,Cobalt Strike,100,156.234.145.40,43131
2025-12-11,Cobalt Strike,100,23.248.214.11,43131
2025-12-11,Cobalt Strike,100,156.234.216.177,43131
2025-12-11,Cobalt Strike,100,156.234.101.186,43131
2025-12-11,Cobalt Strike,100,23.248.214.25,43131
2025-12-11,Cobalt Strike,100,156.234.101.175,43131
2025-12-11,Cobalt Strike,100,156.234.216.183,43131
2025-12-11,Cobalt Strike,100,156.234.216.176,43131
2025-12-11,Cobalt Strike,100,23.248.214.16,43131
2025-12-11,Cobalt Strike,100,23.226.48.218,43131
2025-12-11,Cobalt Strike,100,23.226.48.208,43131
2025-12-11,Cobalt Strike,100,23.235.188.10,43131
2025-12-11,Cobalt Strike,100,23.248.214.21,43131
2025-12-11,Cobalt Strike,100,156.234.216.188,43131
2025-12-11,Cobalt Strike,100,23.248.214.18,43131
2025-12-11,Cobalt Strike,100,23.226.48.211,43131
2025-12-11,Cobalt Strike,100,156.234.145.58,43131
2025-12-11,Cobalt Strike,100,156.234.145.52,43131
2025-12-11,Cobalt Strike,100,156.234.101.161,43131
2025-12-11,Cobalt Strike,100,23.248.214.14,43131
2025-12-11,Cobalt Strike,100,23.226.48.201,43131
2025-12-11,Cobalt Strike,100,23.248.214.2,43131
2025-12-11,Cobalt Strike,100,156.234.101.167,43131
2025-12-11,Cobalt Strike,100,156.234.145.50,43131
2025-12-11,Cobalt Strike,100,23.248.214.20,43131
2025-12-11,Cobalt Strike,100,156.234.216.172,43131
2025-12-11,Cobalt Strike,100,23.235.188.21,43131
2025-12-11,Cobalt Strike,100,23.248.214.9,43131
2025-12-11,Cobalt Strike,100,23.226.48.210,43131
2025-12-11,Cobalt Strike,100,156.234.145.35,43131
2025-12-11,Cobalt Strike,100,156.234.145.43,43131
2025-12-11,Cobalt Strike,100,156.234.216.180,43131
2025-12-11,Cobalt Strike,100,156.234.216.185,43131
2025-12-11,Cobalt Strike,100,23.235.188.17,43131
2025-12-11,Cobalt Strike,100,23.226.48.212,43131
2025-12-11,Cobalt Strike,100,23.248.214.19,43131
2025-12-11,Cobalt Strike,100,23.226.48.204,43131
2025-12-11,Cobalt Strike,100,156.234.216.181,43131
2025-12-11,Cobalt Strike,100,156.234.145.47,43131
2025-12-11,Cobalt Strike,100,23.235.188.8,43131
2025-12-11,Cobalt Strike,100,202.181.25.173,80
2025-12-11,Cobalt Strike,100,23.226.48.214,43131
2025-12-11,Cobalt Strike,100,23.248.214.6,43131
2025-12-11,Cobalt Strike,100,156.234.216.182,43131
2025-12-11,Cobalt Strike,100,156.234.101.163,43131
2025-12-11,Cobalt Strike,100,156.234.216.186,43131
2025-12-11,Cobalt Strike,100,23.235.188.7,43131
2025-12-11,Cobalt Strike,100,23.248.214.5,43131
2025-12-11,Cobalt Strike,100,23.226.48.216,43131
2025-12-11,Cobalt Strike,100,23.235.188.2,43131
2025-12-11,Cobalt Strike,100,156.234.216.165,43131
2025-12-11,Cobalt Strike,100,23.248.237.42,43131
2025-12-11,Cobalt Strike,100,23.248.214.12,43131
2025-12-11,Cobalt Strike,100,156.234.145.33,43131
2025-12-11,Cobalt Strike,100,156.234.216.163,43131
2025-12-11,Cobalt Strike,100,23.226.48.195,43131
2025-12-11,Cobalt Strike,100,156.234.145.45,43131
2025-12-11,Cobalt Strike,100,23.248.237.46,43131
2025-12-11,Cobalt Strike,100,23.248.214.29,43131
2025-12-11,Cobalt Strike,100,23.235.188.16,43131
2025-12-11,XWorm,75,99.247.232.74,1948
2025-12-11,AsyncRAT,100,138.68.155.86,6606
2025-12-11,Unknown malware,75,83.229.121.234,60000
2025-12-11,Sliver,75,64.111.92.248,4433
2025-12-11,QakBot,75,62.1.198.237,995
2025-12-11,Sliver,75,217.76.57.92,8888
2025-12-11,QakBot,75,149.109.142.115,443
2025-12-11,NetSupportManager RAT,75,125.24.81.254,7443
2025-12-11,ValleyRAT,100,43.199.247.226,22180
2025-12-11,XWorm,100,104.168.115.76,6000
2025-12-11,ValleyRAT,100,43.199.247.226,22179
2025-12-11,NjRAT,100,63.176.154.20,16549
2025-12-11,NjRAT,100,3.72.225.3,16549
2025-12-11,NjRAT,100,18.184.107.63,16549
2025-12-11,NjRAT,100,3.69.82.126,16549
2025-12-11,Cobalt Strike,75,47.97.113.42,8081
2025-12-11,Unknown malware,100,80.69.88.61,443
2025-12-11,DCRat,100,46.246.86.10,4444
2025-12-11,Quasar RAT,100,91.151.88.199,7777
2025-12-11,SectopRAT,100,176.65.132.71,9000
2025-12-11,AsyncRAT,100,45.74.9.54,83
2025-12-11,AsyncRAT,100,178.16.53.119,8808
2025-12-11,AsyncRAT,100,107.172.31.101,8880
2025-12-11,Unknown malware,100,45.221.97.89,8888
2025-12-11,Cobalt Strike,100,8.134.132.55,8888
2025-12-11,Cobalt Strike,100,47.76.227.250,80
2025-12-11,Cobalt Strike,100,124.221.126.168,80
2025-12-11,Unknown malware,100,94.156.119.149,8188
2025-12-11,Unknown Stealer,75,23.227.202.244,1224
2025-12-11,Unknown Stealer,75,146.70.253.107,1224
2025-12-11,Unknown Stealer,75,23.227.202.51,1224
2025-12-11,Unknown Stealer,75,88.218.0.78,1224
2025-12-11,Unknown Stealer,75,23.227.202.52,1224
2025-12-11,Unknown Stealer,75,45.140.167.218,1224
2025-12-11,Unknown malware,75,185.141.24.25,52273
2025-12-11,XWorm,100,92.211.0.12,37476
2025-12-11,XWorm,100,104.28.217.210,5555
2025-12-11,XWorm,100,185.177.59.178,6060
2025-12-11,XWorm,100,100.117.65.64,7771
2025-12-11,XWorm,100,196.251.118.220,7000
2025-12-11,XWorm,100,147.185.221.224,65255
2025-12-11,XWorm,100,193.17.57.30,50000
2025-12-11,XWorm,100,2.103.57.102,7000
2025-12-11,XWorm,100,91.200.220.140,8080
2025-12-11,XWorm,100,147.50.253.97,5002
2025-12-11,XWorm,100,185.177.59.178,8080
2025-12-11,XWorm,100,147.185.221.224,23905
2025-12-11,XWorm,100,213.209.157.192,4000
2025-12-11,XWorm,100,193.168.173.68,7000
2025-12-11,XWorm,100,198.23.177.228,55472
2025-12-11,XWorm,100,185.218.126.221,4444
2025-12-11,XWorm,100,45.59.104.23,6000
2025-12-11,XWorm,100,160.238.13.151,3000
2025-12-11,Unknown malware,100,185.216.118.100,8888
2025-12-11,Stealc,100,62.60.177.215,80
2025-12-11,XWorm,100,212.64.215.198,4545
2025-12-11,Cobalt Strike,100,154.21.202.124,443
2025-12-11,Cobalt Strike,100,192.210.215.210,80
2025-12-11,Cobalt Strike,75,47.89.234.193,443
2025-12-11,Unknown malware,100,165.73.81.241,9809
2025-12-11,Meterpreter,100,54.162.160.172,22622
2025-12-11,Meterpreter,100,54.162.160.172,5222
2025-12-11,Meterpreter,100,13.222.215.198,9142
2025-12-11,AdaptixC2,100,101.42.255.92,6379
2025-12-11,AdaptixC2,100,216.126.224.115,4444
2025-12-11,AsyncRAT,100,107.172.31.102,8000
2025-12-11,Unknown malware,100,154.89.195.202,8888
2025-12-11,Remcos,100,4.201.140.112,2404
2025-12-11,Remcos,100,154.38.173.246,2404
2025-12-11,Cobalt Strike,100,47.239.201.21,80
2025-12-11,Cobalt Strike,100,23.235.187.92,43131
2025-12-11,Cobalt Strike,100,23.235.187.89,43131
2025-12-11,Cobalt Strike,100,23.235.187.71,43131
2025-12-11,Cobalt Strike,100,23.235.187.73,43131
2025-12-11,Cobalt Strike,100,23.235.187.94,43131
2025-12-11,Cobalt Strike,100,23.235.187.91,43131
2025-12-11,Cobalt Strike,100,23.235.187.76,43131
2025-12-11,Cobalt Strike,100,23.235.187.74,43131
2025-12-11,Unknown malware,100,172.233.25.95,3333
2025-12-11,Unknown malware,100,104.237.3.230,3333
2025-12-11,Unknown malware,100,177.104.176.211,8080
2025-12-11,Unknown malware,100,82.157.6.98,60000
2025-12-11,Havoc,100,35.168.18.94,8443
2025-12-11,AsyncRAT,100,172.105.61.164,8888
2025-12-11,AsyncRAT,100,107.172.31.102,9090
2025-12-11,Cobalt Strike,100,156.234.252.80,43131
2025-12-11,Cobalt Strike,100,156.234.252.86,43131
2025-12-11,Cobalt Strike,100,23.235.187.66,43131
2025-12-11,Cobalt Strike,100,23.235.187.72,43131
2025-12-11,Cobalt Strike,100,156.234.252.66,43131
2025-12-11,Cobalt Strike,100,156.234.252.76,43131
2025-12-11,Cobalt Strike,100,156.234.252.87,43131
2025-12-11,Cobalt Strike,100,156.234.252.93,43131
2025-12-11,Cobalt Strike,100,23.235.187.67,43131
2025-12-11,Cobalt Strike,100,23.235.187.84,43131
2025-12-11,Cobalt Strike,100,156.234.145.48,43131
2025-12-11,Cobalt Strike,100,23.235.187.82,43131
2025-12-11,Cobalt Strike,100,156.234.252.81,43131
2025-12-11,Cobalt Strike,100,23.235.187.81,43131
2025-12-11,Cobalt Strike,100,156.234.252.74,43131
2025-12-11,Cobalt Strike,100,23.235.187.78,43131
2025-12-11,Cobalt Strike,100,156.234.252.77,43131
2025-12-11,Cobalt Strike,100,23.235.187.93,43131
2025-12-11,Cobalt Strike,100,23.235.187.87,43131
2025-12-11,Cobalt Strike,100,23.235.187.75,43131
2025-12-11,Cobalt Strike,100,156.234.252.90,43131
2025-12-11,Cobalt Strike,100,156.234.252.68,43131
2025-12-11,Cobalt Strike,100,23.235.187.68,43131
2025-12-11,Cobalt Strike,100,156.234.252.79,43131
2025-12-11,Cobalt Strike,100,23.235.187.83,43131
2025-12-11,Cobalt Strike,100,23.235.187.69,43131
2025-12-11,Cobalt Strike,100,156.234.252.89,43131
2025-12-11,Cobalt Strike,100,156.234.252.71,43131
2025-12-11,Cobalt Strike,100,156.234.252.91,43131
2025-12-11,Cobalt Strike,100,156.234.252.73,43131
2025-12-11,Cobalt Strike,100,23.235.187.80,43131
2025-12-11,Cobalt Strike,100,23.235.187.90,43131
2025-12-11,Cobalt Strike,100,156.234.252.72,43131
2025-12-11,Cobalt Strike,100,156.234.252.75,43131
2025-12-11,Cobalt Strike,100,156.234.252.92,43131
2025-12-11,Cobalt Strike,100,23.254.201.214,443
2025-12-11,Cobalt Strike,100,23.254.201.214,80
2025-12-11,Cobalt Strike,100,23.235.187.86,43131
2025-12-11,Cobalt Strike,100,23.235.187.70,43131
2025-12-11,Cobalt Strike,100,156.234.252.85,43131
2025-12-11,Cobalt Strike,100,23.235.187.77,43131
2025-12-11,Cobalt Strike,100,156.234.252.88,43131
2025-12-11,Cobalt Strike,100,156.234.252.70,43131
2025-12-11,Cobalt Strike,100,156.234.252.82,43131
2025-12-11,Cobalt Strike,100,23.235.187.85,43131
2025-12-11,Cobalt Strike,100,156.234.252.78,43131
2025-12-11,DeimosC2,75,81.174.45.220,443
2025-12-11,DeimosC2,75,54.209.190.101,443
2025-12-11,Sliver,75,45.9.150.169,80
2025-12-11,DeimosC2,75,144.34.234.225,46108
2025-12-11,Sliver,75,144.172.89.63,8080
2025-12-11,Unknown malware,100,172.237.89.35,80
2025-12-11,Meterpreter,100,168.245.200.47,3790
2025-12-11,Meterpreter,100,103.177.46.53,3790
2025-12-11,Unknown malware,100,89.185.85.170,5555
2025-12-11,Havoc,100,20.27.222.177,443
2025-12-11,Unknown malware,100,102.117.175.60,7443
2025-12-11,Unknown malware,100,172.237.82.242,7443
2025-12-11,AsyncRAT,100,178.16.54.222,80
2025-12-11,Sliver,100,144.202.27.199,80
2025-12-11,Sliver,100,23.227.202.162,443
2025-12-11,Cobalt Strike,100,119.45.250.8,8888
2025-12-11,Cobalt Strike,100,60.205.166.136,80
2025-12-11,Cobalt Strike,100,156.234.252.65,43131
2025-12-11,Cobalt Strike,100,23.235.188.20,43131
2025-12-11,Cobalt Strike,100,156.234.252.84,43131
2025-12-11,Cobalt Strike,100,156.234.252.69,43131
2025-12-11,Cobalt Strike,100,156.234.252.67,43131
2025-12-11,Cobalt Strike,100,156.234.252.83,43131
2025-12-11,Remcos,50,151.57.155.22,2606
2025-12-11,AsyncRAT,50,45.139.104.208,4782
2025-12-11,AsyncRAT,50,45.139.104.208,6606
2025-12-11,AsyncRAT,50,45.139.104.208,7707
2025-12-11,AsyncRAT,50,45.139.104.208,8808
2025-12-11,Unknown Stealer,50,192.169.7.221,5000
2025-12-11,Unknown malware,50,46.151.182.176,443
2025-12-11,MooBot,50,45.156.87.121,80
2025-12-11,AdaptixC2,50,94.103.1.161,443
2025-12-11,Mozi,50,221.15.89.72,55442
2025-12-11,SectopRAT,50,185.39.19.98,9000
2025-12-11,Poseidon Stealer,50,189.203.155.90,8080
2025-12-11,Xtreme RAT,50,45.84.0.173,135
2025-12-11,NjRAT,50,188.212.158.72,1177
2025-12-11,AsyncRAT,50,157.20.182.25,1337
2025-12-11,Rhadamanthys,50,165.99.9.229,443
2025-12-11,Brute Ratel C4,50,2.44.116.198,9002
2025-12-11,Unknown malware,50,5.45.68.131,8443
2025-12-11,Unknown malware,50,93.176.73.49,8443
2025-12-11,Unknown malware,50,106.14.76.222,80
2025-12-11,Ghost RAT,50,123.57.128.13,80
2025-12-11,NetSupportManager RAT,50,91.228.113.199,9022
2025-12-11,NetSupportManager RAT,50,42.236.73.218,9088
2025-12-11,Unknown RAT,50,103.144.29.18,444
2025-12-11,Unknown RAT,50,137.220.154.107,444
2025-12-11,Unknown RAT,50,202.79.169.181,444
2025-12-11,Unknown RAT,50,38.91.116.44,444
2025-12-11,Unknown RAT,50,38.91.116.42,444
2025-12-11,Unknown RAT,50,38.45.127.150,444
2025-12-11,Unknown RAT,50,38.45.125.92,444
